Gene	GSM3288223_Sample_01-H_dLCC	GSM3288226_Sample_02-H_dRoDeAA	GSM3288228_Sample_03-H_dZC	GSM3288231_Sample_04-H_dTG	GSM3288234_Sample_05-H_dPF	GSM3288237_Sample_06-H_dGiAg	GSM3288240_Sample_07-H_dLePe	GSM3288243_Sample_08-H_dNB	GSM3288245_Sample_09-H_tripletC	GSM3288248_Sample_10-H_tripletH	GSM3288251_Sample_11-H_tripletQ	GSM3288254_Sample_12-H_tripletW	GSM3288257_Sample_13-H_tripletS	GSM3288260_Sample_14-H_tripletA	GSM3288263_Sample_15-H_tripletG	GSM3288266_Sample_16-H_tripletJ	GSM3288273_Sample_18-H_tripletT
A1BG	837	90	54	163	698	191	501	471	14	5	13	4	21	32	4	9	4
A1BG-AS1	25	6	3	14	20	4	1	1	0	1	0	1	2	1	2	2	2
A1CF	1	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	2
A2M	19	38	27	20	213	22	18	15	15	13	5	39	60	82	20	12	9
A2M-AS1	2	2	1	2	5	0	2	1	0	0	0	1	0	0	0	2	1
A2ML1	10	16	13	12	3	5	1	5	12	12	21	47	15	8	5	11	7
A2MP1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
A3GALT2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	389	1877	1108	750	81	1549	141	397	2272	7261	6709	4578	4181	8728	1588	7353	11635
A4GNT	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	1215	1628	1582	726	896	935	454	687	479	1492	1494	1996	1271	1769	1270	1723	3123
AACS	905	1221	999	578	287	446	218	272	26	171	151	348	139	221	323	324	555
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AADAC	4	2	12	14	0	0	0	0	0	0	0	0	2	1	0	3	3
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	8	10	1	0	0	0	1	0	0	0	0	2	0	0	0	4
AAED1	113	150	140	134	67	43	23	36	0	16	25	15	14	27	6	30	64
AAGAB	633	1193	1108	516	457	554	181	360	551	918	1231	998	1259	1303	723	1916	1768
AAK1	732	445	395	405	455	360	217	192	199	412	381	752	524	560	860	507	761
AAMDC	651	579	305	206	472	398	219	493	979	722	891	541	965	1214	441	1360	777
AAMP	1587	1786	2211	1241	1183	1229	599	939	309	1384	1386	1938	1434	1822	1650	2213	3026
AANAT	3	1	0	1	6	3	2	4	0	0	2	0	0	0	0	1	1
AAR2	684	917	882	465	431	460	222	310	151	450	574	630	518	640	381	862	1047
AARD	4	3	1	2	1	0	0	2	6	2	4	1	4	5	1	3	2
AARS	7089	8944	5497	3974	4538	4519	2070	3055	5468	15159	11450	27757	10067	12721	16926	15365	21153
AARS2	301	470	503	230	345	282	149	205	282	429	541	441	533	596	302	576	906
AARSD1	17	28	24	7	5	11	1	1	0	12	14	13	15	17	7	13	36
AASDH	92	233	141	68	61	65	19	28	34	194	205	396	181	173	159	357	389
AASDHPPT	129	423	521	164	52	80	23	55	147	288	492	433	390	397	276	812	784
AASS	50	152	138	35	27	56	20	36	49	165	192	443	96	132	129	214	360
AATBC	6	0	2	1	13	4	2	1	1	0	4	0	2	9	0	4	7
AATF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATK	46	11	15	40	172	24	40	15	0	0	1	10	1	13	5	5	3
AATK-AS1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
ABALON	7	12	17	8	3	4	0	2	2	11	7	192	8	21	74	13	52
ABAT	9	40	41	17	15	9	6	5	4	28	11	73	20	20	29	24	71
ABCA1	121	27	197	128	85	32	15	27	6	14	12	24	12	51	11	10	17
ABCA10	1	0	3	0	1	0	0	1	0	1	4	2	3	0	3	4	6
ABCA11P	22	58	48	13	17	18	9	13	13	45	57	76	39	42	28	51	66
ABCA12	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0
ABCA13	7	9	8	20	8	3	7	5	10	16	14	7	24	14	13	17	10
ABCA17P	1	4	1	0	0	2	0	1	0	3	0	0	1	2	1	0	0
ABCA2	818	126	148	343	464	169	351	86	11	11	30	24	55	73	11	30	69
ABCA3	319	50	47	88	128	70	96	55	2	4	4	3	2	9	1	9	13
ABCA4	14	8	6	7	5	1	0	11	3	11	7	15	4	6	16	7	7
ABCA5	95	170	85	62	110	64	24	29	25	117	148	92	66	133	74	136	141
ABCA6	0	4	0	1	0	0	0	0	0	0	1	2	0	0	0	1	1
ABCA7	4040	1532	947	2175	4559	2697	2762	3501	10538	5016	5977	5500	7089	10454	2912	5832	5247
ABCA8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA9	4	4	5	4	9	2	4	3	1	7	4	13	3	11	7	9	5
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	0	3	3	1	0	5	2	1	0	0	0	0	0	0	0	1	1
ABCB10	68	866	1271	222	63	148	17	89	1295	5901	5357	12460	2522	4641	5826	8665	8276
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	4	35	4	16	4	37	1	4	3	77	215	84	113	191	14	307	109
ABCB5	14	12	16	12	6	7	5	14	19	39	22	163	20	32	98	43	56
ABCB6	1252	1158	1351	926	357	1241	361	1346	5454	6197	5992	11000	7022	8527	7303	8017	7128
ABCB7	445	875	589	331	264	328	135	181	244	800	804	1561	676	805	824	1213	1259
ABCB8	1258	1062	1336	712	919	1259	602	1035	1526	1493	1944	1276	2247	2189	1096	2072	2691
ABCB9	279	143	176	196	70	229	89	162	123	123	145	191	171	367	63	157	211
ABCC1	131	99	81	92	82	87	56	48	9	27	38	20	85	49	23	72	78
ABCC10	347	265	276	198	126	154	109	68	13	110	128	130	90	159	100	137	352
ABCC11	0	2	0	0	0	1	0	0	0	2	0	1	1	0	0	0	1
ABCC12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC13	4	0	45	1	5	0	0	9	36	33	412	398	222	103	503	279	116
ABCC2	14	5	2	6	3	4	9	1	2	0	0	5	1	0	0	7	8
ABCC3	217	173	24	107	594	52	128	161	10	10	9	28	27	54	14	3	17
ABCC4	637	1396	925	836	37	418	79	149	180	936	874	4453	670	728	2821	1897	2883
ABCC5	973	1358	833	653	690	875	318	592	1526	2854	2978	3189	3142	3984	2271	4438	4701
ABCC5-AS1	0	0	2	1	0	2	0	0	1	1	5	2	0	6	3	3	1
ABCC6	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC6P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	6	4	1	1	4	5	4	3	15	11	22	10	29	21	4	30	19
ABCD1	449	112	130	252	950	170	294	253	23	35	26	45	52	101	24	29	57
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ABCD3	69	320	408	112	102	60	20	39	57	266	313	377	202	291	235	565	699
ABCD4	744	497	337	390	514	319	280	217	96	223	279	332	296	334	234	387	463
ABCE1	144	987	1283	314	115	201	49	88	154	662	963	783	745	808	516	1380	2036
ABCF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2	854	1581	1767	765	726	769	394	602	477	977	1222	984	1349	1418	737	1561	2506
ABCF3	1215	883	762	680	909	598	461	499	258	470	597	480	665	711	381	676	920
ABCG1	39	14	9	52	40	10	7	13	2	8	3	16	14	24	7	2	5
ABCG2	12	106	107	22	4	28	2	8	96	429	418	1307	356	461	916	662	734
ABCG4	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
ABCG5	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	1
ABCG8	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ABHD1	10	4	2	7	8	1	6	4	1	3	1	1	2	3	1	9	5
ABHD10	482	808	520	286	326	303	176	233	337	583	777	465	747	788	331	971	870
ABHD11	452	428	453	248	262	349	136	224	123	273	354	191	292	407	165	410	451
ABHD11-AS1	84	18	10	33	4	14	3	6	2	3	5	1	12	1	0	2	3
ABHD12	3177	870	1098	1413	5903	1250	1495	2040	733	1399	1275	1060	1498	1954	745	1518	1452
ABHD12B	1	5	2	2	1	0	0	0	0	0	0	1	0	0	0	0	1
ABHD13	62	133	175	90	47	48	21	38	35	167	239	285	124	197	184	343	470
ABHD14A	549	320	219	226	239	247	164	184	36	55	82	31	111	103	30	111	163
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	2474	2356	1556	971	1497	1363	1142	1315	1101	781	1279	646	1554	1547	439	1749	1921
ABHD15	181	171	118	103	116	55	39	37	9	21	29	36	40	43	30	49	58
ABHD16A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16B	209	118	165	182	445	187	143	161	43	94	92	92	131	168	70	97	208
ABHD17A	1117	433	767	728	1236	788	651	891	437	596	640	574	770	859	445	820	909
ABHD17B	88	204	182	93	60	43	22	41	21	86	88	146	74	76	101	135	187
ABHD17C	42	75	64	38	325	31	70	41	1	8	14	2	10	10	0	23	9
ABHD2	379	1208	946	560	357	431	134	240	310	891	1147	1768	1000	1067	862	1433	2151
ABHD3	26	77	61	26	16	16	7	5	5	97	86	140	37	95	155	120	167
ABHD4	1198	935	800	834	276	270	184	240	75	386	233	1428	480	411	1396	586	830
ABHD5	640	995	1009	772	465	415	155	323	848	2941	2200	6878	2617	2307	8200	3885	4515
ABHD6	245	138	95	185	112	91	44	54	9	5	8	7	9	9	12	12	33
ABHD8	993	303	376	401	1323	406	569	572	78	181	196	221	170	345	167	392	460
ABI1	275	780	582	415	314	193	69	91	105	460	441	1068	388	449	669	828	934
ABI2	370	620	685	306	137	283	103	202	257	760	580	1090	492	614	627	1051	1163
ABI3	189	43	32	96	1012	106	228	261	9	33	17	64	61	143	31	24	21
ABI3BP	3	8	7	5	1	1	3	5	0	2	2	3	6	2	0	5	4
ABL1	310	790	966	402	174	277	66	198	85	403	397	919	320	443	364	585	1280
ABL2	309	180	236	197	213	135	76	93	40	41	64	43	111	86	60	109	116
