Gene	GSM3288224_Sample_01-TI_Fe73	GSM3288229_Sample_03-TITD_Fe46	GSM3288232_Sample_04-TITD_Fe50	GSM3288235_Sample_05-TITD_Fe80	GSM3288238_Sample_06-TITD_Fe28	GSM3288241_Sample_07-TI_Fe77	GSM3288246_Sample_09-TITD_tripletC	GSM3288249_Sample_10-TI_tripletH	GSM3288252_Sample_11-TITD_tripletQ	GSM3288255_Sample_12-TITD_tripletW	GSM3288256_Sample_12-TITD_exTM_tripletW	GSM3288258_Sample_13-TITD_tripletS	GSM3288261_Sample_14-TI_tripletA	GSM3288264_Sample_15-TITD_tripletG	GSM3288268_Sample_16-TITD_tripletJ	GSM3288276_Sample_18-TI_tripletT
A1BG	264	32	11	6	26	195	24	50	11	3	5	652	9	29	13	6
A1BG-AS1	0	6	3	3	5	13	3	0	3	0	2	16	1	4	0	1
A1CF	0	0	0	2	0	0	0	3	3	0	1	1	0	1	4	0
A2M	87	8	5	2	10	99	64	47	2	10	15	801	16	95	67	15
A2M-AS1	0	0	1	1	1	5	0	0	0	0	0	15	0	1	0	0
A2ML1	15	3	7	17	14	25	8	26	20	10	89	27	6	21	8	16
A2MP1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
A3GALT2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0
A4GALT	709	566	898	1098	1632	935	1255	1635	8804	1334	2772	4109	4566	10732	4039	3663
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	2007	1254	1090	2195	1480	1425	671	418	1769	557	1385	1898	1302	2382	1512	1409
AACS	357	873	581	621	743	859	45	30	130	66	160	268	164	275	158	210
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	32	53	15	31	38	0	0	0	0	0	0	0	1	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	21	17	15	29	25	3	0	0	1	0	4	1	4	1	3	0
AAED1	5	152	91	84	118	91	3	3	6	6	15	85	17	39	20	9
AAGAB	1105	1076	672	981	844	675	654	391	1542	586	860	1831	921	1496	1493	1182
