"","SCA01_T2","SCA03_T2","SCA04_T2","SCA05_T2","SCA08_T2","SCA09_T2","SCA12_T2","SCA13_T2","SCA14_T2","SCA15_T2","SCA16_T2","SCA17_T2","SCA18_T2","SCA19_T2","SCA22_T2","SCA23_T2","SCA26_T2","SCA27_T2","SCA28_T2","SCA29_T2","SCA31_T2","SCA32_T2","SCA34_T2"
"A1BG",1,2,0,0,0,5,0,0,0,4,0,7,1,3,0,0,1,0,3,1,2,6,1
"A1BG-AS1",40,48,44,16,21,113,7,39,10,76,42,71,28,68,43,50,29,19,24,31,54,69,46
"A1CF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2M",2,16,9,1,3,11,4,14,3,9,2,6,11,23,16,20,16,13,7,8,10,16,1
"A2M-AS1",6,15,10,0,6,17,5,5,7,9,24,27,5,12,5,8,10,3,3,2,7,11,24
"A2ML1",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0
"A2ML1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2ML1-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2MP1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"A3GALT2",0,2,1,0,0,3,1,0,0,10,1,0,0,1,0,1,1,1,0,0,4,0,0
"A4GALT",5,3,4,35,3,32,82,4,0,6,58,2,82,58,116,138,11,0,3,59,5,118,2
"A4GNT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS",226,235,208,14,164,405,81,210,54,301,325,287,162,250,189,243,196,153,143,207,234,280,234
"AACS",79,93,139,19,58,163,18,49,15,120,120,128,70,95,62,137,76,40,43,65,92,97,87
"AACSP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACP1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AAGAB",280,262,290,125,216,377,106,155,37,319,419,463,138,295,239,281,313,161,188,168,354,332,252
"AAK1",609,579,743,119,357,1178,178,421,232,937,733,955,340,664,503,823,493,342,357,412,877,780,698
"AAMDC",7,14,11,12,14,29,5,20,0,29,32,32,10,20,15,18,21,15,3,15,17,18,9
"AAMP",479,597,412,65,382,823,146,422,85,651,928,651,288,490,493,615,512,275,326,378,495,621,448
"AANAT",1,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0
"AAR2",179,276,207,11,144,347,73,178,53,322,346,362,144,267,202,279,238,119,146,179,261,307,217
"AARD",0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,3,7,0
"AARS1",289,359,332,51,149,503,81,271,53,428,439,470,169,312,286,527,274,163,176,314,374,494,320
"AARS1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARS2",104,87,108,7,37,202,39,67,25,143,147,170,56,118,62,135,89,49,58,100,90,153,124
"AARSD1",14,17,24,5,4,25,11,11,2,19,17,32,4,6,11,22,10,9,6,7,22,20,17
"AARSD1P1",1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
"AASDH",60,84,93,19,58,166,31,48,25,140,122,168,59,141,68,99,97,54,40,52,126,97,102
"AASDHPPT",230,240,217,29,122,438,88,118,33,298,413,384,110,286,162,243,213,105,134,163,316,304,242
"AASDHPPT-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AASS",11,8,5,0,1,24,5,3,5,18,3,17,4,9,6,19,12,6,7,6,6,5,7
"AATBC",49,158,40,13,121,173,34,94,65,168,312,173,31,150,132,58,80,67,79,52,93,242,67
"AATF",348,464,298,56,278,511,101,324,85,440,550,510,211,399,330,490,424,304,234,281,379,492,332
"AATK",297,459,190,42,181,538,70,87,46,229,545,301,69,364,283,524,460,214,167,209,318,191,195
"ABALON",69,10,26,0,5,7,3,1,0,7,14,18,12,7,13,3,6,8,4,4,6,14,8
"ABAT",195,291,131,27,310,297,79,79,37,255,355,302,87,247,141,298,250,122,119,112,236,172,145
"ABCA1",187,221,244,10,145,494,35,130,69,364,521,312,64,431,102,305,313,130,230,122,226,395,123
"ABCA10",7,8,9,0,4,20,2,3,3,5,12,4,13,11,8,4,6,2,4,5,14,9,9
"ABCA11P",8,4,13,3,1,7,5,5,4,9,7,19,3,6,1,0,2,2,1,3,9,6,11
"ABCA12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA13",1,12,0,4,5,5,11,0,3,4,22,8,0,7,2,23,5,10,11,4,3,9,0
"ABCA15P",1,4,7,0,2,5,0,1,1,2,2,6,1,1,3,3,1,1,1,0,0,1,0
"ABCA17P",1,1,0,2,2,5,0,2,0,1,2,3,3,2,3,6,0,0,2,4,3,0,1
"ABCA2",444,499,582,27,276,845,203,415,175,606,864,845,218,748,467,530,404,202,323,277,644,613,493
"ABCA3",31,58,67,4,28,61,21,35,23,65,57,79,18,47,35,59,26,22,31,22,48,56,44
"ABCA3P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA4",0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,1,0,0,1,1,3,0,3
"ABCA5",244,162,199,56,97,449,70,75,25,187,177,270,103,267,185,122,134,70,69,128,291,258,274
"ABCA6",1,4,1,0,3,12,2,1,1,7,16,8,7,6,5,4,4,2,3,2,5,9,1
"ABCA7",1090,894,712,271,460,1900,302,561,68,1330,1652,1233,542,1250,993,966,968,560,374,484,1388,1028,706
"ABCA8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA9",4,6,0,0,2,0,0,1,0,0,2,16,2,1,4,4,1,4,0,5,4,3,1
"ABCA9-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
