"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"TSPAN6",4.04897921789082,4.12866722798702,3.94755338353267,4.1467933476902,4.68249114531602,4.32162202791265,4.22523631535733,3.93553915074388,3.20179343847135,4.37733943768643,3.96506830334283,4.01245078824803,4.42211994789453,3.20179343847135,3.83953384944846,4.13874523537569,4.21284339026927,4.52942300092177,3.76092464089745,3.70795398788041,3.97039936386883,3.58447934725621,4.33651419432147
"TNMD",3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.92387315561673,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135
"DPM1",7.02676279738752,6.64516104459996,6.94597992235769,8.41505881845874,7.23452430802949,7.34184582565917,6.95339328717679,6.3541811877901,7.27187208962401,7.08636578214996,6.96286641341072,7.4262466816248,7.51404559032137,7.14562531112565,6.95078644676247,6.79113147135151,7.09830073436157,6.81207178716302,6.35295186908969,7.49516398028853,6.98521017694148,6.80827096907656,6.73640733332116
"SCYL3",7.66729972680243,7.36525670359437,7.41996561010407,6.50953408228146,7.50171564315941,7.37739648878847,7.06216762652814,7.25559775644256,7.50751143697503,7.6852181586331,7.36152444440828,7.447001923371,7.58941280388941,7.49410318393284,7.43665258938131,7.24617615084356,7.3967783447481,7.23040579772844,7.23634022914102,7.27765122054824,7.54227676541088,7.19734926422486,7.32155078182264
"FIRRM",5.57419122315863,5.28643905031568,5.57374766535236,5.00589405131629,5.06595837344013,5.54289106418478,4.77502665850136,4.85006669913342,5.15167842704037,5.14454401311958,5.96313284481824,5.67356728357566,5.37536439252605,5.86322684096816,5.65917579711649,5.58874962298613,5.74674475413117,5.60587099886198,4.95748690787821,5.37632368954367,5.56572755601132,6.10041542746189,5.74493270731588
"FGR",11.1077113354437,12.0952012653896,10.5997056543647,11.2035832671164,12.0408581899527,11.3576532168012,11.1146771433028,11.2693360456472,11.0494920075079,11.0642383076244,12.0606719760521,11.2091261413159,10.6335657609248,11.6804728406194,11.4268335279926,11.7957222472103,12.096749515862,11.7659304795411,11.5044941769912,11.1638007353679,11.1320954158699,11.6983722521898,10.7567440747353
"CFH",5.04335426488957,4.42944585728515,5.81457569463648,4.1467933476902,5.06595837344013,4.18939378111678,5.72829545670549,4.34439436891133,4.96904641906666,5.37630597465157,4.86846007806875,4.9066125863259,5.37536439252605,4.82062773108916,4.51941293796854,4.33985551593552,4.89089926291022,4.42041440282215,6.10752550729467,4.98892525111431,5.02279785814595,4.67251255729224,5.36344258246417
"FUCA2",7.09758775337527,8.07478941477854,6.71066160832709,7.40315448085181,7.90743260072797,6.91652639228153,7.36752780421985,7.25559775644256,7.23480920771978,7.42228206787613,7.87158182162443,7.44287482780617,6.96922997322348,7.37534504795859,7.64245089729331,7.43169328271255,7.55600648824803,7.71576622065301,7.5598036709375,7.31973292157381,7.030401606765,7.67866513393669,6.79358289713687
"GCLC",9.01166454673949,8.25652055697864,9.333266483565,10.8413550640787,10.1052644426791,8.51050851676558,10.1979455221501,9.7938603084942,9.89437459651157,8.75036767078476,9.18971485573589,9.17105528401499,9.70662115597302,8.89537032094169,10.7027544431181,8.74875191615534,9.5160255998852,9.00203139122129,9.55377848142376,9.94425983679701,8.92130479095472,9.21571432794281,9.3630694740631
"NFYA",7.66729972680243,8.01019843195893,7.84042208682737,6.90652868902302,7.76641240654572,7.93064826665118,8.17226031382642,7.76431655503662,8.0017016568958,7.76887054665214,7.92584185736979,7.85656098590155,7.54683142234406,8.14604629728773,7.8852023520042,8.01431568969438,7.98086577673339,7.90401394978732,7.94345937322025,7.63491686689254,8.05575102667154,8.17497437494636,8.00012161020732
