name	ids
A4GALT	0
AAAS	1
AACS	2
AAGAB	3
AAK1	4
AAMP	5
AAR2	6
AARS1	7
AARS2	8
AASDHPPT	9
AATBC	10
AATF	11
AATK	12
ABAT	13
ABCA1	14
ABCA13	15
ABCA2	16
ABCA5	17
ABCA7	18
ABCB10	19
ABCB5	20
ABCB7	21
ABCB8	22
ABCC1	23
ABCC10	24
ABCC3	25
ABCC4	26
ABCC5	27
ABCC6	28
ABCD1	29
ABCD3	30
ABCD4	31
ABCE1	32
ABCF1	33
ABCF2	34
ABCF3	35
ABCG1	36
ABCG2	37
ABHD10	38
ABHD11	39
ABHD12	40
ABHD13	41
ABHD14B	42
ABHD15	43
ABHD17A	44
ABHD17B	45
ABHD18	46
ABHD2	47
ABHD3	48
ABHD4	49
ABHD5	50
ABHD8	51
ABI1	52
ABI2	53
ABI3	54
ABITRAM	55
ABL1	56
ABL2	57
ABLIM1	58
ABLIM3	59
ABR	60
ABRACL	61
ABRAXAS1	62
ABRAXAS2	63
ABT1	64
ABTB1	65
ABTB2	66
ABTB3	67
ACAA1	68
ACAA2	69
ACAA2P1	70
ACACA	71
ACAD10	72
ACAD8	73
ACAD9	74
ACADM	75
ACADS	76
ACADSB	77
ACADVL	78
ACAP1	79
ACAP2	80
ACAP3	81
ACBD3	82
ACBD4	83
ACBD5	84
ACBD6	85
ACCS	86
ACD	87
ACER3	88
ACHE	89
ACIN1	90
ACKR1	91
ACKR2	92
ACLY	93
ACO1	94
ACO2	95
ACOT13	96
ACOT7	97
ACOT8	98
ACOT9	99
ACOX1	100
ACOX3	101
ACOXL	102
ACP1	103
ACP2	104
ACP3	105
ACP5	106
ACRBP	107
ACSF2	108
ACSF3	109
ACSL1	110
ACSL3	111
ACSL4	112
ACSL5	113
ACSL6	114
ACSM3	115
ACSS1	116
ACSS2	117
ACTA2	118
ACTB	119
ACTG1	120
ACTG2	121
ACTL6A	122
ACTMAP	123
ACTN1	124
ACTN4	125
ACTR10	126
ACTR1A	127
ACTR1B	128
ACTR2	129
ACTR3	130
ACTR3B	131
ACTR6	132
ACTR8	133
ACVR1	134
ACVR1B	135
ACYP2	136
ADA	137
ADA2	138
ADAM10	139
ADAM15	140
ADAM17	141
ADAM19	142
ADAM28	143
ADAM8	144
ADAM9	145
ADAMTSL4	146
ADAP1	147
ADAP2	148
ADAR	149
ADARB1	150
ADAT1	151
ADCK1	152
ADCY3	153
ADCY4	154
ADCY7	155
ADCY9	156
ADD1	157
ADD2	158
ADD3	159
ADGRE1	160
ADGRE2	161
ADGRE3	162
ADGRE5	163
ADGRG1	164
ADGRG3	165
ADGRG5	166
ADGRL1	167
ADH5	168
ADI1	169
ADIPOR1	170
ADIPOR2	171
ADISSP	172
ADK	173
ADM	174
ADNP	175
ADNP2	176
ADO	177
ADPGK	178
ADPRH	179
ADPRM	180
ADPRS	181
ADRB2	182
ADRM1	183
ADSS2	184
AEBP2	185
AEN	186
AFDN	187
AFF1	188
AFF4	189
AFG2B	190
AFG3L1P	191
AFG3L2	192
AFTPH	193
AGA	194
AGAP1	195
AGAP13P	196
AGAP2	197
AGAP3	198
AGAP4	199
AGAP7P	200
AGBL5	201
AGER	202
AGFG1	203
AGGF1	204
AGK	205
AGL	206
AGO1	207
AGO2	208
AGO3	209
AGO4	210
AGPAT1	211
AGPAT2	212
AGPAT3	213
AGPAT4	214
AGPAT5	215
AGPS	216
AGRN	217
AGTPBP1	218
AGTRAP	219
AHCTF1	220
AHCY	221
AHCYL1	222
AHCYL2	223
AHDC1	224
AHNAK	225
AHR	226
AHSA1	227
AHSA2P	228
AHSP	229
AIDA	230
AIF1	231
AIFM1	232
AIG1	233
AIM2	234
AIMP1	235
AIMP2	236
AIP	237
AIRIM	238
AK1	239
AK2	240
AK3	241
AK7	242
AK9	243
AKAP10	244
AKAP11	245
AKAP13	246
AKAP7	247
AKAP8	248
AKAP8L	249
AKAP9	250
AKIRIN1	251
AKIRIN2	252
AKNA	253
AKR1A1	254
AKR1B1	255
AKR1C1	256
AKR1C3	257
AKR1E2	258
AKR7A2	259
AKT1	260
AKT1S1	261
AKT2	262
AKT3	263
AKTIP	264
ALAD	265
ALAS1	266
ALAS2	267
ALCAM	268
ALDH16A1	269
ALDH18A1	270
ALDH1A1	271
ALDH2	272
ALDH3A2	273
ALDH3B1	274
ALDH5A1	275
ALDH6A1	276
ALDH9A1	277
ALDOA	278
ALDOC	279
ALG11	280
ALG12	281
ALG13	282
ALG2	283
ALG3	284
ALG5	285
ALG6	286
ALKBH1	287
ALKBH4	288
ALKBH5	289
ALKBH7	290
ALMS1	291
ALOX12	292
ALOX15	293
ALOX15B	294
ALOX5	295
ALOX5AP	296
ALPK1	297
ALPL	298
ALS2	299
ALYREF	300
AMBRA1	301
AMD1	302
AMDHD2	303
AMFR	304
AMMECR1	305
