TF	Target
ADNP	TRMT2A
ADNP	RANBP1
ADNP	OSCAR
ADNP	NDUFA3
ADNP	PSMD9
ADNP	HPD
ADNP	RFX1
ADNP	ZDHHC12
ADNP	ZNF335
ADNP	PLEKHG2
ADNP	UBE2L3
ADNP	AP2A2
ADNP	GTF2H4
ADNP	USP35
ADNP	KCTD21
ADNP	NUCKS1
ADNP	VPS37D
ADNP	CORO1C
ADNP	COASY
ADNP	BRAP
ADNP	ACAD10
ADNP	RAC1
ADNP	AHCY
ADNP	MTRNR2L8
ADNP	SLC29A3
ADNP	PIH1D1
ADNP	SDHAF4
ADNP	ARHGEF1
ADNP	SCAMP4
ADNP	ADAT3
ADNP	NDUFS7
ADNP	PIGBOS1
ADNP	PIGB
ADNP	ZNF764
ADNP	PPP6C
ADNP	KXD1
ADNP	MTRNR2L2
ADNP	CHMP6
ADNP	CACTIN
ADNP	SPHK2
ADNP	RPL18
ADNP	SHFL
ADNP	PGPEP1
ADNP	METTL14
ADNP	CLPB
ADNP	KDM4B
ADNP	TOR1A
ADNP	DRG2
ADNP	ALDH16A1
ADNP	SIRT5
ADNP	UBFD1
ADNP	EARS2
ADNP	CCDC43
ADNP	PDLIM7
ADNP	MLLT1
ADNP	C19ORF25
ADNP	UBE4A
ADNP	SMU1
ADNP	SORBS1
ADNP	SWSAP1
ADNP	NR6A1
ADNP	ADRM1
ADNP	TKT
ADNP	FBXW5
ADNP	C8G
ADNP	CMIP
ADNP	TERF2
ADNP	HLAE
ADNP	EHBP1L1
ADNP	FXN
ADNP	RIF1
ADNP	CSRNP1
ADNP	TFB1M
ADNP	ISOC2
ADNP	SLC29A2
ADNP	TJP3
ADNP	ADAMTS14
ADNP	PRMT1
ADNP	PAXX
ADNP	RPL36
ADNP	GATA1
ADNP	PDE4A
ADNP	GNG7
ADNP	DTD1
ADNP	UTP25
ADNP	SPOCD1
ADNP	MRPL54
ADNP	APBA3
ADNP	TLE2
ADNP	EPS15
ADNP	ZDHHC24
ADNP	ACTN3
ADNP	PAK4
ADNP	SRXN1
ADNP	CCDC22
ADNP	CEP164
ADNP	CPPED1
ADNP	SETD1A
ADNP	ZNF184
ADNP	CABLES2
ADNP	ARRDC2
ADNP	TSC1
ADNP	GFI1B
ADNP	HPS1
ADNP	SYNJ2
ADNP	NLRX1
ADNP	NICN1
ADNP	SPATA2
ADNP	TIPARP
ADNP	HEATR3
ADNP	TRABD
ADNP	RAB11B
ADNP	PRAME
ADNP	RAP1GAP
ADNP	NPAS4
ADNP	TCIRG1
ADNP	PLA2G12A
ADNP	SMARCD2
ADNP	PNN
ADNP	GABPB2
ADNP	CDC42BPG
ADNP	CCNT1
ADNP	ZNF638
ADNP	MRPL45
ADNP	DYM
ADNP	ALKBH7
ADNP	PRMT5
ADNP	NRROS
ADNP	EFNA4
ADNP	TENT2
ADNP	BCL9L
ADNP	LDLRAP1
ADNP	TAF1C
ADNP	UIMC1
ADNP	SLC25A16
ADNP	MVB12A
ADNP	WDR43
ADNP	ZFP36L1
ADNP	SRRD
ADNP	HPS4
ADNP	RBM4B
ADNP	PDCL
ADNP	KANK2
ADNP	RPL37A
ADNP	MIDN
ADNP	PKD2L2
ADNP	DDA1
ADNP	SGSM1
ADNP	AARS2
ADNP	TCF3
ADNP	ATG16L1
ADNP	SPC24
ADNP	KIF2C
ADNP	GTF2H5
ADNP	CYRIB
ADNP	MAST3
ADNP	ATP6V0E2
ADNP	ADNP
ADNP	RPS14
ADNP	CDC25B
ADNP	ASAP3
ADNP	LTO1
ADNP	TUFM
ADNP	SH2B1
ADNP	UBE2V2
ADNP	NIPA2
ADNP	CFD
ADNP	SLC27A4
ADNP	HMGN4
ADNP	TMC6
ADNP	MRPL39
ADNP	KCNK5
ADNP	GTPBP3
ADNP	ANO8
ADNP	TMEM209
ADNP	RPL6
