"Gene","GSM3288223_Sample_01-H_dLCC","GSM3288226_Sample_02-H_dRoDeAA","GSM3288228_Sample_03-H_dZC","GSM3288231_Sample_04-H_dTG","GSM3288234_Sample_05-H_dPF","GSM3288237_Sample_06-H_dGiAg","GSM3288240_Sample_07-H_dLePe","GSM3288243_Sample_08-H_dNB","GSM3288245_Sample_09-H_tripletC","GSM3288248_Sample_10-H_tripletH","GSM3288251_Sample_11-H_tripletQ","GSM3288254_Sample_12-H_tripletW","GSM3288257_Sample_13-H_tripletS","GSM3288260_Sample_14-H_tripletA","GSM3288263_Sample_15-H_tripletG","GSM3288266_Sample_16-H_tripletJ","GSM3288273_Sample_18-H_tripletT"
"HBB",54935,299588,336634,112422,17745,131153,7716,120486,315233,1932153,1519480,4823659,1372248,2038776,3862605,2817440,2932325
"FTL",259503,68706,64724,135158,300893,88113,85292,128109,29655,40044,53100,55757,72400,121676,51838,72122,88130
"FTH1",148504,59375,76248,89115,165234,70513,57943,89866,27423,55246,70549,96415,68575,90668,82687,83219,99108
"HBA2",11706,6647,16049,10390,6168,15585,2649,49466,886581,271796,291830,324318,526400,736228,286515,436639,249569
"RPL13",98528,48532,46706,45656,98776,91012,84307,118822,87116,47112,64864,33156,94233,101037,22911,86662,64549
"RPL8",81158,59548,45530,36668,58193,64913,45240,70916,61095,60914,73060,47928,83090,101402,35545,90161,79940
"RPL3",93083,93395,67025,47440,58663,72707,43961,56883,43365,48631,60988,43388,66410,82335,27221,81907,90076
"RPS6",73392,85420,52396,33034,51430,53659,36165,49134,53584,51010,82982,46346,72307,79994,34024,109448,82755
"HBD",8575,26163,24118,11255,3217,24517,2935,40094,110253,199241,289593,214128,225756,335674,165138,270483,249468
"HBA1",10464,6173,15684,8876,4388,16002,2210,48249,543812,195842,231425,230863,399338,430769,194259,287248,149970
"RPS3",72642,76845,51895,34456,44661,55273,33415,46258,34312,49602,54968,41467,65279,74127,31138,80559,75132
"RPLP1",65223,46732,40449,32754,57656,50450,38036,64663,36542,46164,53526,45719,63176,73554,27417,81903,70701
"RPS12",55583,58550,34033,26964,34324,43946,25090,42434,55798,47877,70699,46296,83830,84710,27964,93345,79170
"RPLP2",58687,27839,22649,19098,52967,42907,38493,63674,90691,47979,60096,35953,81788,85935,27088,91268,50526
"RPS11",70633,53807,33766,24443,50945,46487,34317,50942,38606,43424,46260,41259,56749,69172,27138,63200,62545
"GAPDH",89418,84442,83426,48644,84588,57787,51145,50525,15410,32041,34693,33617,42844,46262,14742,39885,65837
"ACTB",42948,60371,74746,44223,48158,32676,16657,24010,22501,43770,53528,48110,62741,65830,38871,71260,74289
"RPS19",72460,48879,34078,29249,65915,54932,48265,73160,45583,29731,43097,23724,54865,66261,17078,56577,47535
"TPT1",82297,72567,54413,50418,39970,33263,20068,22187,10613,45297,44599,88354,33685,46646,55129,72344,81574
"AHSP",6418,20665,14041,6830,2006,17252,1754,32815,183411,122024,127273,120837,155821,198170,99650,191466,106547
"RPLP0",43289,57816,43527,24831,24285,32138,18338,33379,22911,36760,38362,35946,45211,47293,23796,63874,65859
"GNB2L1",71841,52954,34335,31830,40572,43544,31682,38074,18262,27127,32939,28871,37916,42816,17848,41786,48751
"BSG",29079,15665,19647,21420,13769,19688,9799,22331,28452,59038,46767,111789,59853,76427,89560,67139,71782
"RPL11",59579,52618,30195,22392,40360,37404,26498,35078,19797,31942,39883,27505,40414,51621,18973,50404,45796
"RPS8",46061,45950,34621,24505,29128,34976,20534,31834,21073,36590,44487,29765,47543,46652,21999,60283,51107
"TFRC",12250,30947,41177,19283,2268,12346,1469,8285,27553,100265,95642,201973,82877,90719,115958,195628,154371
"RPS4X",66955,46100,47599,21460,24863,30764,28908,38035,20007,33132,44931,35243,44789,33875,14124,39227,42724
"ALAS2",10129,12540,18075,9989,2650,14038,2209,20057,67708,87956,88779,162312,103588,121213,137462,128926,101735
"RPL18",55490,31705,28284,23133,38400,43957,32941,50931,25589,26112,31042,21867,38776,47225,15434,43672,39324
"RPS2",46680,44425,41325,26974,27030,35835,18713,28793,15767,31446,48277,24232,50472,43931,16785,48744,54699
