"Gene1","Gene2"
"AEBP2","TMEM53"
"AEBP2","FBXO31"
"AEBP2","GPR108"
"AEBP2","TRIP10"
"AEBP2","GIPC1"
"AEBP2","HMGCS1"
"AEBP2","PWWP2A"
"AEBP2","JUP"
"AEBP2","NUMB"
"AFF4","TERF2"
"AFF4","CYB5B"
"AHR","DEAF1"
"AHR","WEE1"
"AHR","PSMA1"
"AHR","SAAL1"
"AHR","RCN1"
"AHR","CD44"
"AHR","STX3"
"AHR","SLC15A3"
"AHR","TTC9C"
"AHR","KDM2A"
"AHR","POLD4"
"AHR","GSTP1"
"AHR","CPT1A"
"AHR","STARD10"
"AHR","C2CD3"
"AHR","PPME1"
"AHR","TSKU"
"AHR","PRCP"
"AHR","ME3"
"AHR","ANKRD49"
"AHR","BCL9L"
"AHR","CBL"
"AHR","ST3GAL4"
"AHR","NADK"
"AHR","RCC2"
"AHR","ECE1"
"AHR","RAP1GAP"
"AHR","AHDC1"
"AHR","EPB41"
"AHR","KPNA6"
"AHR","AK2"
"AHR","SMAP2"
"AHR","FOXJ3"
"AHR","ERI3"
"AHR","OSBPL9"
"AHR","ANKRD13C"
"AHR","VANGL1"
"AHR","IGSF3"
"AHR","RNF115"
"AHR","CHD1L"
"AHR","ANP32E"
"AHR","TARS2"
"AHR","VPS72"
"AHR","PIP5K1A"
"AHR","SELENBP1"
"AHR","POGZ"
"AHR","S100A11"
"AHR","ADAR"
"AHR","TMCO1"
"AHR","TOR1AIP2"
"AHR","QSOX1"
"AHR","TRMT1L"
"AHR","SWT1"
"AHR","IVNS1ABP"
"AHR","PPP1R15B"
"AHR","PIK3C2B"
"AHR","CD55"
"AHR","CENPF"
"AHR","DEGS1"
"AHR","NVL"
"AHR","IRF2BP2"
"AHR","LGALS8"
"AHR","ITPR1"
"AHR","BTD"
"AHR","ANKRD28"
"AHR","RFTN1"
"AHR","GNL3"
"AHR","PRKCD"
"AHR","PSMD6"
"AHR","FOXP1"
"AHR","NIT2"
"AHR","ITGB5"
"AHR","MGLL"
"AHR","IFT122"
"AHR","UBA5"
"AHR","SLC25A36"
"AHR","ZBTB38"
"AHR","ATR"
"AHR","MBNL1"
"AHR","MFSD1"
"AHR","FNDC3B"
"AHR","FXR1"
"AHR","MCCC1"
"AHR","ABCC5"
"AHR","LPP"
"AHR","LSG1"
"AHR","TNK2"
"AHR","PAK2"
"AHR","DLC1"
"AHR","BNIP3L"
"AHR","ZNF395"
"AHR","SPIDR"
"AHR","ATP6V1H"
"AHR","SNHG6"
"AHR","STAU2"
"AHR","TMEM70"
"AHR","WWP1"
"AHR","NBN"
"AHR","TRIQK"
"AHR","RAD54B"
"AHR","NDUFAF6"
"AHR","PABPC1"
"AHR","AZIN1"
"AHR","EBAG9"
"AHR","TAF2"
"AHR","TBC1D31"
"AHR","PVT1"
"AHR","CHRAC1"
"AHR","DENND3"
"AHR","PLEC"
"AHR","PAXBP1"
"AHR","RCAN1"
"AHR","RUNX1"
"AHR","PIGP"
"AHR","TTC3"
"AHR","BRWD1"
"AHR","PDXK"
"AHR","ADARB1"
"AHR","COL18A1"
"AHR","SLC19A1"
"AHR","PARP4"
"AHR","ELF1"
"AHR","TSC22D1"
"AHR","GTF2F2"
"AHR","CAB39L"
"AHR","MRPS31P5"
"AHR","USP6NL"
"AHR","ST8SIA6-AS1"
"AHR","PIP4K2A"
"AHR","MAP3K8"
"AHR","ERCC6"
"AHR","SGMS1"
"AHR","SEC24C"
"AHR","CHCHD1"
"AHR","ZSWIM8"
"AHR","ADK"
"AHR","COMTD1"
"AHR","HPS1"
"AHR","SFXN3"
"AHR","ITPRIP"
"AHR","ADD3"
"AHR","PDCD4"
"AHR","PDCD4-AS1"
"AHR","BBIP1"
"AHR","ABLIM1"
"AHR","INPP5F"
"AHR","WDR11"
"AHR","GLRX3"
"AHR","ITPA"
"AHR","CDC25B"
"AHR","AP5S1"
"AHR","ESF1"
"AHR","NDUFAF5"
"AHR","DSTN"
"AHR","CDK5RAP1"
"AHR","PKIG"
"AHR","STK4"
"AHR","ZMYND8"
"AHR","NCOA3"
"AHR","UBE2V1"
"AHR","ADAP1"
"AHR","GPR146"
"AHR","TNRC18"
"AHR","FBXL18"
"AHR","ACTB"
"AHR","AIMP2"
"AHR","RAC1"
"AHR","BZW2"
"AHR","MACC1"
"AHR","CDCA7L"
"AHR","TRA2A"
"AHR","LSM5"
"AHR","EEPD1"
"AHR","ANLN"
"AHR","BLVRA"
"AHR","TNS3"
"AHR","TMEM248"
"AHR","POR"
"AHR","HSPB1"
"AHR","YWHAG"
"AHR","SRI"
"AHR","ARPC1A"
"AHR","ZSCAN25"
"AHR","CUX1"
"AHR","SRPK2"
"AHR","SYPL1"
"AHR","HBP1"
"AHR","RBM28"
"AHR","TMEM209"
"AHR","TMEM140"
"AHR","ZNF282"
"AHR","ZNF775"
"AHR","ASIC3"
"AHR","LMBR1"
"AHR","UBE3C"
"AHR","EXOC2"
"AHR","FAM50B"
"AHR","RIOK1"
"AHR","ATXN1"
"AHR","CMAHP"
"AHR","RPS10"
"AHR","STK38"
"AHR","PIM1"
"AHR","KIAA1586"
"AHR","ZNF451"
"AHR","CD109"
"AHR","TMEM30A"
"AHR","SNX14"
"AHR","CITED2"
"AHR","MTHFD1L"
"AHR","RMND1"
"AHR","ARID1B"
"AHR","PHF10"
"AHR","WDR90"
"AHR","PKD1"
"AHR","TRAF7"
"AHR","CREBBP"
"AHR","NAGPA"
"AHR","ALG1"
"AHR","SNX29"
"AHR","ALDOA"
"AHR","CRNDE"
"AHR","CDH1"
"AHR","NQO1"
"AHR","VAC14"
"AHR","ZNF19"
"AHR","MLYCD"
"AHR","MBTPS1"
"AHR","USP10"
"AHR","ZDHHC7"
"AHR","KIAA0513"
"AHR","COX4I1"
"AHR","EMC8"
