ID	CON02_T1	CON02_T2	CON05_T1	CON05_T2	CON06_T1	CON06_T2	CON07_T1	CON07_T2	CON08_T1	CON08_T2	CON09_T1	CON09_T2	CON10_T1	CON10_T2	CON11_T1	CON11_T2	CON12_T1	CON12_T2	CON13_T1	CON13_T2	CON14_T1	CON14_T2	CON17_T1	CON17_T2	CON18_T1	CON18_T2	CON19_T1	CON19_T2	CON20_T1	CON20_T2	CON21_T1	CON21_T2	CON22_T1	CON22_T2	SCA01_T1	SCA01_T2	SCA03_T1	SCA03_T2	SCA04_T1	SCA04_T2	SCA05_T1	SCA05_T2	SCA09_T1	SCA08_T1	SCA08_T2	SCA09_T2	SCA12_T1	SCA12_T2	SCA13_T1	SCA13_T2	SCA14_T1	SCA14_T2	SCA15_T1	SCA15_T2	SCA16_T1	SCA16_T2	SCA17_T1	SCA17_T2	SCA18_T1	SCA18_T2	SCA19_T1	SCA19_T2	SCA22_T1	SCA22_T2	SCA23_T1	SCA23_T2	SCA26_T1	SCA26_T2	SCA27_T1	SCA27_T2	SCA28_T1	SCA28_T2	SCA29_T1	SCA29_T2	SCA31_T1	SCA31_T2	SCA32_T1	SCA32_T2	SCA34_T1	SCA34_T2
ENSG00000223972	1	3	1	2	4	4	6	11	14	0	0	3	7	7	2	5	0	0	3	1	3	4	3	7	10	1	11	2	3	2	3	19	12	5	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	3	1	0	0	0	0	1	1	0	1	1	2	0	0	1	0	0	1	0	0	1	0
ENSG00000227232	118	207	231	191	250	245	215	135	128	217	216	106	113	170	93	168	31	15	154	146	82	134	164	266	255	330	173	105	70	122	110	181	40	43	14	47	43	54	44	53	13	9	50	48	27	57	13	9	27	28	34	5	42	83	30	31	8	24	38	49	43	61	13	35	29	19	17	22	22	31	5	5	6	2	39	34	22	26	14	45
ENSG00000278267	9	26	33	37	17	17	16	8	9	48	23	12	8	14	14	6	1	5	10	13	21	15	17	36	30	39	34	19	17	23	10	14	3	8	3	11	1	1	13	4	2	0	14	7	7	9	3	0	8	1	4	0	8	12	6	6	1	8	3	4	4	1	8	4	4	2	0	0	10	7	0	6	0	0	3	5	2	4	4	5
ENSG00000243485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	15	8	9	12	5	4	3	8	4	19	22	10	6	19	14	11	4	2	24	15	16	44	1	5	1	1	43	30	9	14	6	12	4	1	0	0	8	4	6	3	1	0	13	4	5	4	2	0	1	3	3	0	1	2	3	18	2	6	1	0	7	2	3	1	3	3	6	2	4	8	3	2	3	0	0	2	0	1	2	2
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268903	357	501	463	489	714	344	412	301	200	317	377	380	225	418	732	588	121	73	548	551	296	560	82	152	135	115	747	775	378	353	365	364	195	193	27	47	117	151	17	19	19	21	148	145	143	97	15	5	30	36	38	4	36	48	122	115	40	72	18	10	169	187	45	74	123	104	57	68	66	68	8	20	79	18	165	105	18	31	33	60
ENSG00000269981	99	139	324	264	232	242	240	210	149	269	259	104	167	245	338	328	108	39	282	284	348	516	68	133	126	107	574	620	145	332	97	160	129	170	0	65	98	102	13	15	11	0	215	145	71	108	16	14	36	16	35	5	30	39	162	188	28	68	18	18	123	127	30	32	104	83	60	72	88	58	23	31	99	20	103	97	26	26	23	63
ENSG00000239906	0	1	26	14	20	14	16	11	8	6	7	4	0	9	6	0	2	0	11	35	21	39	3	6	15	1	14	5	10	11	0	2	3	1	1	2	4	0	0	0	0	0	1	2	1	3	0	0	0	0	2	0	0	0	3	1	0	3	0	0	5	4	4	1	2	0	5	13	0	2	1	2	2	0	0	1	1	2	6	1
ENSG00000241860	6	34	74	54	28	36	32	57	14	25	42	29	34	43	29	47	10	7	26	34	54	59	23	23	19	13	93	54	27	40	6	15	9	11	1	15	24	18	8	3	1	0	58	24	11	26	2	1	8	3	8	3	3	13	44	33	4	15	3	3	40	42	9	6	26	17	13	18	9	4	6	9	4	2	5	31	2	6	8	12
ENSG00000222623	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	1	2	2	4	5	12	9	2	6	0	6	4	0	6	4	1	1	1	2	4	4	0	1	3	1	2	7	3	4	6	3	10	19	14	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	2	2	1	0	0	0	0	0	0	0	0	0
ENSG00000279457	58	106	121	111	190	148	111	68	99	141	133	97	99	123	72	126	46	15	89	64	75	104	110	192	173	159	111	100	69	115	99	162	95	75	23	26	20	24	28	34	17	6	52	18	11	52	7	12	37	34	31	3	30	52	47	37	16	33	23	24	15	22	28	31	27	16	8	19	16	23	15	9	29	19	28	16	45	35	28	34
ENSG00000273874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
