"","CON02_T1","CON05_T1","CON06_T1","CON07_T1","CON08_T1","CON09_T1","CON10_T1","CON11_T1","CON12_T1","CON13_T1","CON14_T1","CON17_T1","CON18_T1","CON19_T1","CON20_T1","CON21_T1","CON22_T1"
"A1BG",4,8,4,4,7,9,3,4,5,0,5,12,12,13,3,5,2
"A1BG-AS1",139,191,204,156,154,334,152,82,86,163,91,155,258,262,100,68,90
"A1CF",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"A2M",1,1,17,8,5,2,3,3,7,2,4,8,3,10,0,9,1
"A2M-AS1",19,27,42,25,30,42,14,10,10,13,12,35,41,12,4,43,12
"A2ML1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A2ML1-AS1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"A2ML1-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2MP1",0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"A3GALT2",0,5,4,7,1,5,2,1,1,5,1,1,1,4,2,1,0
"A4GALT",30,14,2,29,1,8,2,14,3,18,17,3,11,6,1,8,41
"A4GNT",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AAAS",621,764,916,818,619,1129,519,388,451,619,469,773,1154,1026,471,525,429
"AACS",218,261,289,271,206,528,175,167,175,209,280,297,466,568,185,224,158
"AACSP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL2-AS1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAT",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"AAGAB",465,708,842,804,591,1201,547,371,431,538,520,736,1379,1240,447,540,376
"AAK1",1284,1974,1804,1773,1786,3279,1506,895,1024,1024,1187,2077,3488,3603,877,939,814
"AAMDC",32,40,60,64,43,66,46,26,29,36,37,47,88,53,57,85,8
"AAMP",1424,1784,2167,2012,1331,2657,1181,1006,1080,1391,1223,1714,3172,2614,1154,1139,1067
"AANAT",1,0,2,3,0,1,2,0,0,0,2,0,1,1,0,0,0
"AAR2",692,837,1069,826,538,1281,563,445,563,645,538,837,1597,1113,510,563,425
"AARD",0,2,2,0,1,2,0,2,1,0,0,0,0,1,0,2,1
"AARS1",820,1011,1027,1232,799,1349,749,498,676,750,843,1060,1854,1479,661,573,553
"AARS1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARS2",199,376,344,342,287,587,248,133,201,151,225,342,608,597,139,193,106
"AARSD1",29,50,53,45,42,103,38,20,20,30,36,68,89,65,12,32,24
"AARSD1P1",0,0,1,0,0,0,1,2,0,0,0,0,0,4,3,0,0
"AASDH",192,285,260,232,242,501,207,125,138,194,192,271,502,507,144,141,110
"AASDHPPT",520,645,825,678,544,1360,553,343,432,432,422,739,1385,1382,348,419,381
"AASDHPPT-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AASS",8,16,13,15,11,70,18,7,12,9,16,14,16,49,5,6,9
"AATBC",190,294,369,382,224,397,262,230,260,366,212,214,337,424,162,196,272
"AATF",951,1375,1639,1494,1053,1511,820,1048,875,1012,1098,1256,2270,2137,865,1070,734
"AATK",671,1279,1713,1175,573,1150,804,2136,858,1509,1347,800,1277,2016,764,1322,750
"ABALON",0,2,3,2,0,2,2,0,1,0,4,0,1,3,1,2,0
"ABAT",541,1262,1128,1104,498,1037,592,588,424,519,662,556,785,1894,399,368,297
"ABCA1",299,631,1081,550,377,576,621,491,467,353,1044,844,1103,1699,432,496,265
"ABCA10",14,12,15,4,41,44,14,8,14,25,13,25,33,15,4,7,12
"ABCA11P",11,14,19,12,10,27,8,4,4,35,12,17,21,37,3,10,9
"ABCA12",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA13",7,3,8,11,1,17,3,14,2,8,4,1,3,34,4,5,3
"ABCA15P",0,3,2,4,1,11,1,0,2,3,0,6,5,0,2,5,5
"ABCA17P",2,11,15,10,10,12,2,2,5,4,0,9,5,6,1,1,4
"ABCA2",654,1785,1894,1722,758,1847,955,805,866,841,1048,1364,2183,3306,661,840,544
"ABCA3",86,146,194,194,118,213,92,77,90,110,88,126,320,253,71,98,58
"ABCA3P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA4",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"ABCA5",486,470,370,307,497,1310,445,121,387,463,269,673,1057,877,144,255,198
"ABCA6",6,12,18,7,15,19,7,8,7,11,7,7,15,21,4,3,10
"ABCA7",804,2976,2543,2925,1962,4559,2756,1643,1575,3004,4093,3001,4572,6567,1586,1945,1136
"ABCA8",0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0
"ABCA9",11,2,4,1,6,11,4,1,4,6,3,10,9,2,1,0,2
"ABCA9-AS1",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB1",193,416,399,386,150,428,176,87,145,155,166,336,648,852,124,200,138
"ABCB10",297,380,484,288,385,861,359,201,312,321,373,485,807,771,252,294,213
"ABCB10P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB10P3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ABCB10P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB11",2,0,0,1,3,0,0,1,1,0,0,0,4,6,0,0,0
"ABCB4",54,88,56,85,115,181,52,34,61,88,66,76,109,302,41,21,41
"ABCB5",0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB6",22,25,23,12,20,48,14,4,18,11,14,22,47,36,6,9,10
"ABCB7",225,357,408,339,311,666,231,156,217,250,241,344,675,708,264,277,183
"ABCB8",427,685,802,687,481,948,426,286,356,463,398,680,1186,991,275,342,280
"ABCB9",56,65,55,48,33,109,60,46,32,60,27,74,96,87,86,39,33
"ABCC1",703,1189,1090,1026,852,1538,876,521,741,651,1444,1233,1981,1776,632,637,424
"ABCC10",339,576,612,560,362,740,387,204,321,314,449,624,1006,894,234,258,241
"ABCC11",1,0,1,3,0,0,5,0,0,0,4,0,0,0,0,0,1
"ABCC12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC13",55,38,39,130,120,10,116,35,96,59,110,4,10,32,183,36,115
"ABCC2",46,88,85,53,65,155,56,50,43,50,66,89,144,163,42,41,28
"ABCC3",176,356,639,553,853,434,161,317,371,292,372,383,535,437,585,360,446
"ABCC4",129,261,244,329,395,347,188,185,155,181,182,207,325,285,254,237,191
"ABCC5",436,1146,1140,983,540,885,635,473,366,398,809,707,1093,2262,369,444,284
"ABCC5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC6",20,35,67,52,30,40,18,24,27,22,34,38,65,125,26,39,20
"ABCC6P1",0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"ABCC6P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC8",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"ABCC9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD1",517,595,812,702,363,715,364,383,372,450,509,693,1118,887,422,480,255
"ABCD1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD1P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD1P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD1P5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD2",148,172,250,120,203,608,178,60,135,130,135,308,494,521,93,141,109
"ABCD3",378,479,625,487,347,949,427,269,265,385,334,491,939,983,275,329,257
"ABCD4",557,775,814,815,653,1298,539,362,465,590,502,852,1362,1269,380,508,334
"ABCE1",681,896,1003,690,824,2198,828,389,478,599,475,1053,1996,1793,476,610,543
"ABCF1",1171,1610,1745,1687,1204,2066,938,860,1006,1011,1268,1490,2810,2468,875,896,792
"ABCF2",782,975,1262,1084,819,1474,737,585,569,615,703,1121,2270,1811,591,706,577
"ABCF2P1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ABCF2P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCF3",790,1134,1272,1120,793,1545,791,677,573,857,809,1125,1973,1845,643,716,533
"ABCG1",694,592,1170,929,509,810,696,505,554,516,1074,1417,1769,1877,545,790,286
"ABCG2",14,25,14,29,20,25,31,4,27,15,37,6,6,16,31,11,21
"ABCG4",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
"ABCG5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD1",14,8,13,11,13,27,19,6,9,7,2,17,19,48,9,5,9
"ABHD10",392,447,555,410,414,969,399,233,338,473,312,555,855,894,310,381,315
"ABHD11",151,186,256,237,123,254,104,109,103,205,116,133,273,315,105,183,105
"ABHD12",363,369,615,451,320,567,286,302,241,319,279,471,774,624,250,347,196
